id	previous_weight_lbs	current_weight_lbs	height_in	gender	score	single_pic_sample	photo1	photo2
1o7r2w	325	300	72	FALSE	315	T	yJEeFmV_1.jpg	yJEeFmV_2.jpg
1o7b72	264	236	68	FALSE	21	T	XFjdWJZ_1.jpg	XFjdWJZ_2.jpg
1o6onv	290	230	71	FALSE	33	F	fD2Zx08.jpg	y1V5zq6.jpg
1o54fl	183	140	68	FALSE	57	T	kCDFkrP_1.jpg	kCDFkrP_2.jpg
1o3eqq	266	177	69	FALSE	62	F	NZRTJqg.jpg	c7Vp5VD.jpg
1o9pt2	235	140	68	TRUE	112	T	ltXebbl_1.jpg	ltXebbl_2.jpg
1ot6vk	220	150	64	TRUE	44	T	Cp0SyhD_1.jpg	Cp0SyhD_2.jpg
1qpfy3	280	235	76	FALSE	17	F	Ludc3Wf.jpg	w6KvdYp.jpg
1qgdrc	264	215	73	FALSE	24	F	jFUYIdJ.jpg	vOwi5xx.jpg
1qq733	235	145	66	TRUE	538	T	OII0M4I_1.jpg	OII0M4I_2.jpg
1rjdj1	251	188	73	FALSE	23	F	1jSZson.jpg	1axtDYv.jpg
1rhn3i	340	290	72	FALSE	12	T	pzrctUf_1.jpg	pzrctUf_2.jpg
1sxbxm	340	235	79	FALSE	798	F	G53TRaG.jpg	RLaZAPk.jpg
1sw1fb	158	158	63	TRUE	218	T	w4B7UhG_1.jpg	w4B7UhG_2.jpg
1u0tt9	160	122	68	TRUE	69	T	0w66dTT_1.jpg	0w66dTT_2.jpg
1u0kza	209	152	64	TRUE	805	F	1egN9l4.jpg	jOrwnNg.jpg
1tyqc3	223	170	64	TRUE	1594	T	z0fg329_1.jpg	z0fg329_2.jpg
1z7te0	300	150	64	TRUE	1552	T	Ut0TCUe_1.jpg	Ut0TCUe_2.jpg
1zeq9s	330	330	73	FALSE	12	T	0Cxjnk8_1.jpg	0Cxjnk8_2.jpg
1z8nto	260	198	64	TRUE	52	T	HdpRtMc_1.jpg	HdpRtMc_2.jpg
20u7cl	260	216	65	TRUE	52	T	4logeqn_1.jpg	4logeqn_2.jpg
21wqip	250	190	74	FALSE	86	F	oIijWZy.jpg	aosE8WC.jpg
244yoo	268	168	67	FALSE	79	T	oYST4u7_1.jpg	oYST4u7_2.jpg
24fh4a	300	140	64	TRUE	356	T	kIbeJEI_1.jpg	kIbeJEI_2.jpg
24v2p1	265	254	71	FALSE	1	T	PqlXeTW_1.jpg	PqlXeTW_2.jpg
24ukhn	245	185	69	FALSE	63	F	SDJn2kA.jpg	chZwpnq.jpg
25adkr	236	171	69	FALSE	53	F	yFG1o5Q.jpg	abepsp4.jpg
282t6b	295	295	69	FALSE	9	F	iyLD9Ye.jpg	TiD8bKX.jpg
28jzb1	235	195	74	FALSE	3	T	2oKIqv8_1.jpg	2oKIqv8_2.jpg
2al7yj	180	145	61	TRUE	666	T	6klgEMN_1.jpg	6klgEMN_2.jpg
2biksi	215	182	72	FALSE	13	F	Ph5b3jK.jpg	YUoJ8GQ.jpg
2bm7m2	127	116	62	TRUE	70	T	PIblp9h_1.jpg	PIblp9h_2.jpg
2clwbx	252	172	67	TRUE	150	T	F9c6nFx_1.jpg	F9c6nFx_2.jpg
2eh41q	230	213	63	TRUE	6	F	GP9JkDG.jpg	Y4Wbk09.jpg
2fxm98	205	165	67	FALSE	6	F	aytwI6K.jpg	c4AFf45.jpg
2kjdyv	230	160	67	FALSE	7	F	tV1Skzo.jpg	wjADP2X.jpg
2mxuxr	265	197	67	TRUE	14	T	0dMOq2t_1.jpg	0dMOq2t_2.jpg
2r5qcy	356	250	68	TRUE	20	T	CGDwqFe_1.jpg	CGDwqFe_2.jpg
2s2rb6	301	195	71	FALSE	152	F	UeCsGKL.jpg	5QhLLz9.jpg
2z4dne	385	245	71	FALSE	667	T	1tUdfZi_1.jpg	1tUdfZi_2.jpg
30x3wt	125	125	61	TRUE	3	F	1Sj1gZL.jpg	jmuGJdk.jpg
34sl7c	220	188	69	TRUE	21	F	4YTn43K.jpg	bQcIVb3.jpg
3by0vb	217	190	64	TRUE	74	T	4fdXpc4_1.jpg	4fdXpc4_2.jpg
3cfx6m	254	180	65	FALSE	11	T	Kj5QrP8_1.jpg	Kj5QrP8_2.jpg
3eg68o	296	185	74	FALSE	122	F	NBvbvKX.jpg	hQbEls1.jpg
3faw98	239	191	66	TRUE	176	F	nEIjkO9.jpg	Mg2tC0l.jpg
3j0mgu	220	180	72	FALSE	131	T	4L0o9ES_1.jpg	4L0o9ES_2.jpg
3izwaz	217	187	64	TRUE	76	T	fASJsa9_1.jpg	fASJsa9_2.jpg
3n8hcf	237	172	73	FALSE	204	T	tpj7fC7_1.jpg	tpj7fC7_2.jpg
3rdusa	375	273	79	FALSE	238	T	u4stG81_1.jpg	u4stG81_2.jpg
3rxpvh	325	241	79	FALSE	65	T	2ZqH9mm_1.jpg	2ZqH9mm_2.jpg
3vud2i	171	136	69	FALSE	6	F	yL8DaWl.jpg	bpmnjsr.jpg
41jg5p	300	200	72	FALSE	168	F	8xzZwkH.jpg	xLAmI0i.jpg
47auyo	220	180	72	FALSE	14	T	7KAl21t_1.jpg	7KAl21t_2.jpg
zgruh	280	210	76	FALSE	114	T	sayXF_1.jpg	sayXF_2.jpg
1277md	284	226	73	FALSE	144	F	0cYnB.jpg	CQhTN.jpg
1hfqli	330	205	71	FALSE	161	F	QW8FJaH.jpg	kcnazgc.jpg
1jkn4k	305	220	74	FALSE	147	T	oNio3h7_1.jpg	oNio3h7_2.jpg
1obe73	197	160	64	TRUE	167	T	q4PGlBW_1.jpg	q4PGlBW_2.jpg
1rt530	190	163	68	TRUE	91	T	tqTGTTF_1.jpg	tqTGTTF_2.jpg
1tcuo5	256	230	68	TRUE	68	T	v7iftd5_1.jpg	v7iftd5_2.jpg
1ubzn7	140	140	63	TRUE	556	T	DknJ6a6_1.jpg	DknJ6a6_2.jpg
1u6ejl	158	137	67	TRUE	1698	T	hLlun4b_1.jpg	hLlun4b_2.jpg
1w90bu	250	214	68	TRUE	242	T	Rl8cTIO_1.jpg	Rl8cTIO_2.jpg
228gl6	250	196	68	TRUE	238	T	1n7x6Xt_1.jpg	1n7x6Xt_2.jpg
2ah0o8	252	177	68	TRUE	535	T	Q08ZxWT_1.jpg	Q08ZxWT_2.jpg
2af31k	236	196	67	TRUE	1357	T	IbCcq8z_1.jpg	IbCcq8z_2.jpg
2ey2qv	225	210	73	FALSE	11	F	Vt4vyxl.jpg	kXNSjA9.jpg
2n4o5y	252	159	67	TRUE	502	T	Xqm6aFj_1.jpg	Xqm6aFj_2.jpg
2qde8j	276	238	70	FALSE	28	T	vIgsTFO_1.jpg	vIgsTFO_2.jpg
2r0xu4	266	266	73	FALSE	32	F	HMP52aM.jpg	AVhyHQq.jpg
36fq60	240	175	75	FALSE	131	T	Aj63M33_1.jpg	Aj63M33_2.jpg
37rwrq	230	214	68	FALSE	61	T	4zbs2XZ_1.jpg	4zbs2XZ_2.jpg
3lhxlf	202	172	67	TRUE	62	T	cyGVJJR_1.jpg	cyGVJJR_2.jpg
44gwsw	245	150	70	TRUE	387	T	BuPdzHJ_1.jpg	BuPdzHJ_2.jpg
1oknu3	205	155	69	FALSE	373	F	2WPTPY3.jpg	RGSiEpU.jpg
1oj9vq	165	182	75	FALSE	3	T	2HsAp_1.jpg	2HsAp_2.jpg
1oi3ri	120	157	72	FALSE	48	F	ZHzc7uC.jpg	ErsdaB5.jpg
1ohu11	194	171	69	FALSE	263	T	PNH4H1h_1.jpg	PNH4H1h_2.jpg
1rbxow	190	190	73	FALSE	152	T	20LoSe9_1.jpg	20LoSe9_2.jpg
1t9hsu	145	170	67	FALSE	228	T	HQBIZk3_1.jpg	HQBIZk3_2.jpg
1uql4o	140	150	65	FALSE	384	T	eeKp0j5_1.jpg	eeKp0j5_2.jpg
1ufk1n	133	165	68	FALSE	47	F	MtPUDmG.jpg	teogNsz.jpg
1v6q8p	139	148	70	FALSE	23	T	k1WkfGx_1.jpg	k1WkfGx_2.jpg
1vm646	196	167	70	FALSE	46	F	mPZrafp.jpg	Wllf1lx.jpg
1vigy1	233	190	69	FALSE	98	T	pPWGOkA_1.jpg	pPWGOkA_2.jpg
1whhc4	172	184	73	FALSE	50	T	3w9ZmYy_1.jpg	3w9ZmYy_2.jpg
1ww8a8	135	155	68	FALSE	219	T	68SgGrQ_1.jpg	68SgGrQ_2.jpg
1ww3qs	123	133	71	TRUE	337	F	LnTtYw0.jpg	aDcU0vX.jpg
1xe53z	135	155	66	FALSE	98	F	NbSlKQl.jpg	PvzO1tf.jpg
1y1abf	185	220	75	FALSE	58	T	0LZQqXF_1.jpg	0LZQqXF_2.jpg
1ybxhk	148	160	68	FALSE	37	F	dnYHrmm.jpg	VKMbhmu.jpg
1yx2n1	171	176	70	FALSE	80	T	p8SA1F1_1.jpg	p8SA1F1_2.jpg
1zhze5	210	220	76	FALSE	122	F	9jVuliw.jpg	iHY0x4e.jpg
1zy03g	165	153	67	FALSE	87	T	WELWffJ_1.jpg	WELWffJ_2.jpg
209kzy	190	230	73	FALSE	112	T	TEFy5R9_1.jpg	TEFy5R9_2.jpg
21xqcv	140	178	72	FALSE	164	T	bTFOBsC_1.jpg	bTFOBsC_2.jpg
21sbr6	175	208	74	FALSE	82	F	7Yoa7DN.jpg	E6IfcLw.jpg
21s9kj	140	170	70	FALSE	208	T	Kn3C5L2_1.jpg	Kn3C5L2_2.jpg
22luqz	117	185	74	FALSE	178	F	Vp253NI.jpg	nuDYWPZ.jpg
228qab	144	212	60	FALSE	105	T	sgzUGDc_1.jpg	sgzUGDc_2.jpg
231foy	134	143	64	TRUE	74	T	qo5VcGD_1.jpg	qo5VcGD_2.jpg
22zofz	230	200	74	FALSE	242	T	Fkg4b51_1.jpg	Fkg4b51_2.jpg
22zo64	165	187	71	FALSE	39	T	hMdcJze_1.jpg	hMdcJze_2.jpg
22nc98	140	160	70	FALSE	174	T	m6EKRcG_1.jpg	m6EKRcG_2.jpg
23u277	126	152	72	FALSE	36	F	ffKcKsD.jpg	pgr4HyG.jpg
23jize	165	158	69	FALSE	130	T	4W5MdUQ_1.jpg	4W5MdUQ_2.jpg
24kvmt	240	170	68	FALSE	283	T	IHGB0nk_1.jpg	IHGB0nk_2.jpg
25d5pr	116	148	69	FALSE	249	T	4WgkNq7_1.jpg	4WgkNq7_2.jpg
2589eh	125	151	71	FALSE	30	F	r8v6sRx.jpg	6gGYVS8.jpg
257c34	175	175	72	FALSE	216	T	rU5AWT8_1.jpg	rU5AWT8_2.jpg
25ynki	207	125	65	TRUE	582	F	SObKGS2.jpg	YpPvP7i.jpg
25nhrv	185	155	60	FALSE	99	T	CYEwdfr_1.jpg	CYEwdfr_2.jpg
26trbc	161	190	75	FALSE	156	T	u29IMCs_1.jpg	u29IMCs_2.jpg
27n0is	198	213	76	FALSE	27	F	ptHsbWo.jpg	r4DuAc9.jpg
27jyye	195	164	70	FALSE	343	T	Vs6LXoJ_1.jpg	Vs6LXoJ_2.jpg
27hwd6	153	153	67	FALSE	38	F	h7sEULk.jpg	EmPmM99.jpg
28pqvh	158	178	72	FALSE	308	T	VM40YNW_1.jpg	VM40YNW_2.jpg
2ackc0	147	155	72	FALSE	42	T	NoKnDgf_1.jpg	NoKnDgf_2.jpg
2bh4n2	135	147	71	FALSE	104	T	x2h9KPV_1.jpg	x2h9KPV_2.jpg
2bu6t9	180	170	69	FALSE	96	T	H5qg42r_1.jpg	H5qg42r_2.jpg
2bn8nd	130	191	70	FALSE	262	T	M5fjwrv_1.jpg	M5fjwrv_2.jpg
2cfju7	145	165	73	FALSE	107	F	rxCmsAj.jpg	36J4P5s.jpg
2c36tj	190	170	69	FALSE	58	T	iUUTKSJ_1.jpg	iUUTKSJ_2.jpg
2cikp0	139	109	63	FALSE	374	T	TOJJRqu_1.jpg	TOJJRqu_2.jpg
2dnb4s	165	175	72	FALSE	85	T	whHadfa_1.jpg	whHadfa_2.jpg
2dkqm4	185	177	69	FALSE	137	T	EWcitf0_1.jpg	EWcitf0_2.jpg
2e4zih	165	152	67	FALSE	38	T	pURdhxR_1.jpg	pURdhxR_2.jpg
2epk9q	265	230	75	FALSE	68	T	SEgFCUG_1.jpg	SEgFCUG_2.jpg
2elx6f	120	160	71	FALSE	56	T	MGelyp9_1.jpg	MGelyp9_2.jpg
2evwrg	130	160	70	FALSE	220	T	5ncuEqy_1.jpg	5ncuEqy_2.jpg
2fht6w	161	174	72	FALSE	22	T	lJrVJM0_1.jpg	lJrVJM0_2.jpg
2hkicd	140	158	72	FALSE	183	T	WFPn9AN_1.jpg	WFPn9AN_2.jpg
2hgl5a	146	181	72	FALSE	62	T	2qY5q8h_1.jpg	2qY5q8h_2.jpg
2hob5a	149	160	66	FALSE	0	T	hYM3RJ3_1.jpg	hYM3RJ3_2.jpg
2izu67	114	125	68	FALSE	14	F	9HKU0xK.jpg	cPlmNxY.jpg
2ju2fm	140	182	72	FALSE	390	T	VS3wEyg_1.jpg	VS3wEyg_2.jpg
2jq7bo	215	160	66	FALSE	359	T	UllaHXN_1.jpg	UllaHXN_2.jpg
2kd16x	147	172	67	FALSE	59	T	eZ0CXRk_1.jpg	eZ0CXRk_2.jpg
2k8fhc	135	155	69	FALSE	125	T	tULZ0G5_1.jpg	tULZ0G5_2.jpg
2lep2h	143	156	70	FALSE	141	T	C5D6T2s_1.jpg	C5D6T2s_2.jpg
2l7rmb	104	140	68	FALSE	67	F	vawrENt.jpg	UJ9tQ7V.jpg
2ljutv	120	135	70	FALSE	20	F	5lf1liX.jpg	9VONioV.jpg
2mj5r8	165	188	69	FALSE	141	T	57sLjEo_1.jpg	57sLjEo_2.jpg
2na7we	259	189	69	FALSE	718	T	qnLSuBO_1.jpg	qnLSuBO_2.jpg
2n1fij	186	174	70	FALSE	59	F	FxdlZfw.jpg	wCsyIuP.jpg
2nra96	170	181	69	FALSE	0	T	1sGjYYr_1.jpg	1sGjYYr_2.jpg
2nyqyl	178	156	64	TRUE	534	T	pU11YS0_1.jpg	pU11YS0_2.jpg
2nwkk5	162	195	74	FALSE	229	T	LzGYuSf_1.jpg	LzGYuSf_2.jpg
2p3tfo	233	176	69	FALSE	388	T	2netM1I_1.jpg	2netM1I_2.jpg
2pu1rd	117	123	66	TRUE	50	T	aAb61V6_1.jpg	aAb61V6_2.jpg
2r3yke	265	205	77	FALSE	107	T	pgbk8a8_1.jpg	pgbk8a8_2.jpg
2qvzdg	155	190	75	FALSE	124	T	KyLcxFS_1.jpg	KyLcxFS_2.jpg
2qvl9e	205	167	72	FALSE	254	T	JIbNbHG_1.jpg	JIbNbHG_2.jpg
2rv6u1	212	162	73	FALSE	136	T	MmUrHJT_1.jpg	MmUrHJT_2.jpg
2u1woh	151	169	68	FALSE	40	F	tflhWD1.jpg	qUL7KD9.jpg
2tz3ul	200	180	69	FALSE	4	T	kYzhgOu_1.jpg	kYzhgOu_2.jpg
2uagwp	158	158	71	FALSE	69	F	ukLnndK.jpg	cMXW6yL.jpg
2uwvj8	185	210	73	FALSE	70	F	kHuxBXx.jpg	uFfexuB.jpg
2w1fbn	145	158	69	FALSE	200	T	C1r1eIX_1.jpg	C1r1eIX_2.jpg
2wjc5c	130	135	70	TRUE	152	T	7GFIYcz_1.jpg	7GFIYcz_2.jpg
2x1p4o	165	196	75	FALSE	41	F	96ok0xu.jpg	CujuDup.jpg
2wxfs1	135	160	70	FALSE	300	T	1Gaohp4_1.jpg	1Gaohp4_2.jpg
2zovvg	186	177	69	FALSE	75	F	mpzkvkn.jpg	f2SwO01.jpg
2z91wp	180	175	71	FALSE	42	T	CozROEc_1.jpg	CozROEc_2.jpg
307hd7	140	190	73	FALSE	177	F	ka5rXcS.jpg	mO6ViRS.jpg
30dvxj	165	180	69	FALSE	15	F	jHzMdJy.jpg	fHmTQYN.jpg
31gjoq	120	200	74	FALSE	68	T	5POEIXp_1.jpg	5POEIXp_2.jpg
31tsk0	193	225	71	FALSE	34	T	Mfn8UEw_1.jpg	Mfn8UEw_2.jpg
32cqow	145	165	71	FALSE	48	F	6tIaG0l.jpg	2HG3Qjs.jpg
33q9aq	160	167	70	FALSE	31	T	LMPBGgn_1.jpg	LMPBGgn_2.jpg
346uxe	177	191	77	FALSE	26	F	EjUikdI.jpg	CLgAjKW.jpg
36swna	180	215	68	FALSE	10	F	DaK1gsu.jpg	6npvpCM.jpg
37nhu8	160	175	68	FALSE	0	T	7C23DVs_1.jpg	7C23DVs_2.jpg
37nc84	200	170	75	FALSE	111	T	culcxmX_1.jpg	culcxmX_2.jpg
37jhel	150	175	68	FALSE	5	F	yR0MSHb.jpg	I647ELL.jpg
392ucn	140	160	70	FALSE	193	T	aEVYzw0_1.jpg	aEVYzw0_2.jpg
396iqb	205	180	71	FALSE	376	T	HhrSnAr_1.jpg	HhrSnAr_2.jpg
39vg4t	140	158	71	FALSE	16	T	IohnF2Y_1.jpg	IohnF2Y_2.jpg
3avmva	170	155	67	FALSE	257	T	KLP3QqU_1.jpg	KLP3QqU_2.jpg
3an08w	135	185	75	FALSE	404	T	KoB8p9q_1.jpg	KoB8p9q_2.jpg
3ae066	142	142	66	FALSE	461	T	PCda3Bl_1.jpg	PCda3Bl_2.jpg
3bblh5	220	180	71	FALSE	149	T	KIemIQP_1.jpg	KIemIQP_2.jpg
3cbpu1	160	180	67	FALSE	73	T	uaJzPzG_1.jpg	uaJzPzG_2.jpg
3cwkk2	160	174	73	FALSE	117	T	k7xpD6W_1.jpg	k7xpD6W_2.jpg
3d94i8	157	167	71	FALSE	230	T	I6zHUYx_1.jpg	I6zHUYx_2.jpg
3e53hb	160	113	62	TRUE	191	T	7i49peA_1.jpg	7i49peA_2.jpg
3evxi5	180	203	69	FALSE	166	T	AODUBUv_1.jpg	AODUBUv_2.jpg
3esfiw	234	215	72	FALSE	323	T	VGctJIG_1.jpg	VGctJIG_2.jpg
3ejlbk	120	160	71	FALSE	32	F	Uf7BhKb.jpg	PTcFh6W.jpg
3g4h3a	160	139	67	FALSE	177	T	eIWJj72_1.jpg	eIWJj72_2.jpg
3fts3j	108	170	69	FALSE	138	T	BGcGqM0_1.jpg	BGcGqM0_2.jpg
3gp2xq	132	156	71	FALSE	489	T	9ayCWlW_1.jpg	9ayCWlW_2.jpg
3g9wjd	159	187	70	FALSE	34	T	04RFrz2_1.jpg	04RFrz2_2.jpg
3hc2ce	140	175	71	FALSE	174	F	8On9sY7.jpg	zVSrqDO.jpg
3gvhx4	140	145	67	FALSE	70	T	zFvOyQz_1.jpg	zFvOyQz_2.jpg
3hp07e	154	154	70	FALSE	113	F	XZMMoAf.jpg	ZQYgCE1.jpg
3hober	131	160	69	FALSE	26	F	Gf7KBeO.jpg	xmirM3z.jpg
3ihuff	196	153	66	FALSE	251	T	BPHPQKj_1.jpg	BPHPQKj_2.jpg
3ihc2q	255	215	76	FALSE	218	T	4ztUE2A_1.jpg	4ztUE2A_2.jpg
3ic2jb	198	175	68	FALSE	552	T	BMW6XQg_1.jpg	BMW6XQg_2.jpg
3j5kvv	138	109	61	TRUE	134	F	oq2U0BM.jpg	xoQxqr1.jpg
3iw7kh	140	195	70	FALSE	250	T	v1HlTgi_1.jpg	v1HlTgi_2.jpg
3ks78j	180	205	75	FALSE	330	T	SWM4Osg_1.jpg	SWM4Osg_2.jpg
3lus15	200	190	74	FALSE	30	T	TuIwKOW_1.jpg	TuIwKOW_2.jpg
3m7y73	155	170	77	FALSE	107	T	qYkxqkA_1.jpg	qYkxqkA_2.jpg
3m6274	215	185	75	FALSE	135	F	gkGk5SW.jpg	88HAkhD.jpg
3o2ly3	135	165	74	FALSE	254	T	KXCecDQ_1.jpg	KXCecDQ_2.jpg
3pac3j	204	204	74	FALSE	168	T	uAlgYDb_1.jpg	uAlgYDb_2.jpg
3rh8ll	160	175	76	FALSE	162	T	o9lliLS_1.jpg	o9lliLS_2.jpg
3rc9kc	136	150	69	FALSE	50	F	6xK9p5z.jpg	1Mw4ZP1.jpg
3spyyr	162	167	70	FALSE	171	T	JjUHRnn_1.jpg	JjUHRnn_2.jpg
3vhh86	128	152	68	FALSE	102	T	7Dcce4X_1.jpg	7Dcce4X_2.jpg
3vycvb	165	165	72	FALSE	177	T	Y3HgIN9_1.jpg	Y3HgIN9_2.jpg
3vt0a3	140	150	66	FALSE	54	T	K2UGjEL_1.jpg	K2UGjEL_2.jpg
3wz036	165	148	66	FALSE	29	F	jj1i050.jpg	KtOFAt4.jpg
3xnp3u	180	170	73	FALSE	66	T	d15wJ4r_1.jpg	d15wJ4r_2.jpg
40r84y	152	165	68	FALSE	0	T	o7YUsyT_1.jpg	o7YUsyT_2.jpg
41rr6r	209	156	66	TRUE	181	F	Un7VQKO.jpg	t1gVvGz.jpg
42mkk4	165	165	68	FALSE	357	T	xh9wLRi_1.jpg	xh9wLRi_2.jpg
44f0kl	140	148	67	FALSE	110	T	yKkDduq_1.jpg	yKkDduq_2.jpg
45xyg7	190	196	73	FALSE	115	T	ajOb7gk_1.jpg	ajOb7gk_2.jpg
47dx5l	160	160	70	FALSE	41	T	MmfaHGG_1.jpg	MmfaHGG_2.jpg
oskdq	165	125	67	TRUE	306	T	mrwpc_1.jpg	mrwpc_2.jpg
r0c9q	175	145	66	TRUE	276	T	paDNZ_1.jpg	paDNZ_2.jpg
rxrqj	170	155	67	FALSE	17	F	abXUB.jpg	A55zM.jpg
rtwnu	255	209	68	FALSE	183	T	I9pnA_1.jpg	I9pnA_2.jpg
sv0hg	250	185	73	FALSE	213	T	GoouV_1.jpg	GoouV_2.jpg
vprei	154	124	64	FALSE	101	F	sPE2D.jpg	PqvDI.jpg
w2tdj	260	200	72	FALSE	92	T	BhX2w_1.jpg	BhX2w_2.jpg
x9yvb	240	180	67	TRUE	416	T	gxV2v_1.jpg	gxV2v_2.jpg
xjiwu	200	175	71	FALSE	144	T	zJ31z_1.jpg	zJ31z_2.jpg
xholh	260	175	71	FALSE	214	T	z1kiE_1.jpg	z1kiE_2.jpg
xe9tc	223	172	71	FALSE	94	F	lWdgN.jpg	irTnG.jpg
xoqef	260	210	73	FALSE	57	F	fvfK6.jpg	XFpO8.jpg
y6ho8	247	180	72	TRUE	261	T	DYUYx_1.jpg	DYUYx_2.jpg
y49vh	206	139	62	TRUE	1083	T	1qP4J_1.jpg	1qP4J_2.jpg
ypyj5	243	174	65	TRUE	194	T	Z0jGr_1.jpg	Z0jGr_2.jpg
107n7k	190	165	69	TRUE	423	T	PkEEc_1.jpg	PkEEc_2.jpg
zzuow	245	195	69	FALSE	202	T	BNQL9_1.jpg	BNQL9_2.jpg
11bpog	318	237	71	FALSE	36	T	BcUf1_1.jpg	BcUf1_2.jpg
128ul3	210	185	67	TRUE	170	T	g0BFE_1.jpg	g0BFE_2.jpg
12p2ox	100	180	75	FALSE	81	F	EASbN.jpg	lqqhi.jpg
